2018/05/25-16:22:34.460000	opened log file: "/advdata/log/arm/failedtransactionslog/failedtransactions_blrocsipd101_0_87.log"
TIMESTAMP	SAK	SAK_TYPE	SESSION_ID	EVENT_TYPE	CLIENT_CONNECTION_ID	GNID	REQUEST_PROTOCOL	RESPONSE_PROTOCOL	ORIGINAL_STATUS_CODE	ORIGINAL_SUB_STATUS_CODE	FINAL_STATUS_CODE	GENERIC_STATUS_CODE	GENERIC_SUB_STATUS_CODE	ROUNDTRIP	IPAR_REQUEST_TIME	IPAR_RESPONSE_TIME	SEP_TIME
2018/05/25-16:22:41.791000	KDD7200701027	-1	!@#172.168.126.49:9997<<--172.168.128.51:31264&TV!-TMAF-1.0#@!4959597553697144652	EVENT	172.168.126.49:9997<<--172.168.128.51:31264&TV!-TMAF-1.0	FarmConnection-GNId:1:6-172.168.122.49:33856-->>172.168.122.46:9882	TMAF	TMAF	16000	0	16000	2	0	14	1	1	12
2018/05/25-16:22:41.794000	KDD440507200000994_1	5	!@#172.168.126.49:9997<<--172.168.128.51:31090&TV!-TMAF-1.0#@!3158066111096350340	EVENT	172.168.126.49:9997<<--172.168.128.51:31090&TV!-TMAF-1.0	FarmConnection-GNId:1:8-172.168.122.49:34089-->>172.168.122.48:9882	TMAF	TMAF	16000	0	16000	2	0	13	2	0	11
2018/05/25-16:22:41.813000	KDD440507200000994_1	-1	!@#172.168.126.49:9997<<--172.168.128.51:31090&TV!-TMAF-1.0#@!4362481163510813733	EVENT	172.168.126.49:9997<<--172.168.128.51:31090&TV!-TMAF-1.0	FarmConnection-GNId:1:7-172.168.122.49:23219-->>172.168.122.47:9882	TMAF	TMAF	16000	0	16000	2	0	12	1	1	10
2018/05/25-16:22:41.830000	440507200000994	1	!@#172.168.126.49:9997<<--172.168.128.51:31090&TV!-TMAF-1.0#@!4358513750609174941	EVENT	172.168.126.49:9997<<--172.168.128.51:31090&TV!-TMAF-1.0	FarmConnection-GNId:1:2-172.168.122.49:34523-->>172.168.122.42:9882	TMAF	TMAF	16000	0	16000	2	0	10	1	0	9
2018/05/25-16:22:42.060000	440517100081022	1	!@#172.168.126.49:9997<<--172.168.128.51:31130&TV!-TMAF-1.0#@!8578946353253131493	EVENT	172.168.126.49:9997<<--172.168.128.51:31130&TV!-TMAF-1.0	FarmConnection-GNId:1:4-172.168.122.49:33424-->>172.168.122.44:9882	TMAF	TMAF	16000	0	16000	2	0	11	1	0	10
2018/05/25-16:22:42.764000	KDD440507200000995	-1	!@#172.168.126.49:9997<<--172.168.128.51:31416&TV!-TMAF-1.0#@!4467788281106916602	EVENT	172.168.126.49:9997<<--172.168.128.51:31416&TV!-TMAF-1.0	FarmConnection-GNId:1:4-172.168.122.49:33424-->>172.168.122.44:9882	TMAF	TMAF	16000	0	16000	2	0	11	2	0	9
2018/05/25-16:22:42.787000	KDD440507200000995_1	5	!@#172.168.126.49:9997<<--172.168.128.51:31416&TV!-TMAF-1.0#@!5215336450127902150	EVENT	172.168.126.49:9997<<--172.168.128.51:31416&TV!-TMAF-1.0	FarmConnection-GNId:1:1-172.168.122.49:55254-->>172.168.122.41:9882	TMAF	TMAF	16000	0	16000	2	0	13	2	0	11
2018/05/25-16:22:42.808000	KDD440507200000995_1	-1	!@#172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0#@!9097139170850670336	EVENT	172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0	FarmConnection-GNId:1:4-172.168.122.49:33424-->>172.168.122.44:9882	TMAF	TMAF	16000	0	16000	2	0	13	2	0	11
2018/05/25-16:22:42.832000	440507200000995	1	!@#172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0#@!3138571391037216472	EVENT	172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0	FarmConnection-GNId:1:1-172.168.122.49:55254-->>172.168.122.41:9882	TMAF	TMAF	16000	0	16000	2	0	12	1	0	11
2018/05/25-16:22:43.063000	440517100081023	1	!@#172.168.126.49:9997<<--172.168.128.52:27644&TV!-TMAF-1.0#@!6490717398956921561	EVENT	172.168.126.49:9997<<--172.168.128.52:27644&TV!-TMAF-1.0	FarmConnection-GNId:1:8-172.168.122.49:34089-->>172.168.122.48:9882	TMAF	TMAF	16000	0	16000	2	0	12	2	0	10
